2022-10-13 13:16:04.053 [restartedMain] [traceId=] INFO  o.s.s.web.DefaultSecurityFilterChain.<init> - Will secure Ant [pattern='/js/**'] with []
2022-10-13 13:16:04.053 [restartedMain] [traceId=] INFO  o.s.s.web.DefaultSecurityFilterChain.<init> - Will secure Ant [pattern='/img/**'] with []
2022-10-13 13:16:04.077 [restartedMain] [traceId=] INFO  o.s.s.web.DefaultSecurityFilterChain.<init> - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@743b635d, org.springframework.security.web.context.SecurityContextPersistenceFilter@34f0b35a, org.springframework.security.web.header.HeaderWriterFilter@1d7b95dc, org.springframework.security.web.csrf.CsrfFilter@660b746f, org.springframework.security.web.authentication.logout.LogoutFilter@625722f0, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@6970b1, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@35b5b9c2, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@354cf3c2, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3f1c6993, org.springframework.security.web.session.SessionManagementFilter@6437dfa4, org.springframework.security.web.access.ExceptionTranslationFilter@5d535f, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@6b476004]
2022-10-13 13:16:04.207 [restartedMain] [traceId=] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize - Tomcat initialized with port(s): 8080 (http)
2022-10-13 13:16:04.211 [restartedMain] [traceId=] INFO  o.a.coyote.http11.Http11NioProtocol.log - Initializing ProtocolHandler ["http-nio-127.0.0.1-8080"]
2022-10-13 13:16:04.211 [restartedMain] [traceId=] INFO  o.a.catalina.core.StandardService.log - Starting service [Tomcat]
2022-10-13 13:16:04.211 [restartedMain] [traceId=] INFO  o.a.catalina.core.StandardEngine.log - Starting Servlet engine: [Apache Tomcat/9.0.56]
2022-10-13 13:16:04.243 [restartedMain] [traceId=] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring embedded WebApplicationContext
2022-10-13 13:16:04.243 [restartedMain] [traceId=] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext.prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 792 ms
2022-10-13 13:16:04.321 [restartedMain] [traceId=] INFO  o.h.jpa.internal.util.LogHelper.logPersistenceUnitInformation - HHH000204: Processing PersistenceUnitInfo [name: default]
2022-10-13 13:16:04.335 [restartedMain] [traceId=] INFO  org.hibernate.Version.logVersion - HHH000412: Hibernate ORM core version 5.6.3.Final
2022-10-13 13:16:04.344 [restartedMain] [traceId=] INFO  o.a.coyote.http11.Http11NioProtocol.log - Starting ProtocolHandler ["http-nio-127.0.0.1-8080"]
