2022-08-03 14:38:31.181 [http-nio-8080-exec-4] [traceId=17b28191-0a90-4a40-977b-92221fef6896] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logRequest - Request : GET uri=[/css/user/login.css] content-type=[null]
2022-08-03 14:38:31.181 [http-nio-8080-exec-3] [traceId=f06202d8-e04f-47f4-8f60-31c546913737] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logRequest - Request : GET uri=[/css/reset.css] content-type=[null]
2022-08-03 14:38:31.240 [http-nio-8080-exec-3] [traceId=f06202d8-e04f-47f4-8f60-31c546913737] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logResponse - Response: content-type:[text/css]
2022-08-03 14:38:31.239 [http-nio-8080-exec-4] [traceId=17b28191-0a90-4a40-977b-92221fef6896] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logResponse - Response: content-type:[text/css]
2022-08-03 14:38:31.240 [http-nio-8080-exec-5] [traceId=0ed8528c-5315-415a-bdc1-ae1f946c0edd] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logResponse - Response: content-type:[image/png]
2022-08-03 14:38:31.286 [http-nio-8080-exec-7] [traceId=02cab504-e432-4a79-a4c5-978559104f9a] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logRequest - Request : GET uri=[/auth/login] content-type=[null]
2022-08-03 14:38:31.306 [http-nio-8080-exec-7] [traceId=02cab504-e432-4a79-a4c5-978559104f9a] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logResponse - Response: content-type:[text/html;charset=UTF-8]
2022-08-03 14:38:32.684 [http-nio-8080-exec-9] [traceId=4f7ad154-9346-44ad-9a8d-d34877fe6bb7] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logRequest - Request : GET uri=[/] content-type=[null]
2022-08-03 14:38:33.732 [http-nio-8080-exec-9] [traceId=4f7ad154-9346-44ad-9a8d-d34877fe6bb7] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logResponse - Response: content-type:[text/html;charset=UTF-8]
2022-08-03 14:38:33.772 [http-nio-8080-exec-1] [traceId=8edc9695-1927-496e-bd98-59af32108969] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logRequest - Request : GET uri=[/css/common.css] content-type=[null]
2022-08-03 14:38:33.772 [http-nio-8080-exec-4] [traceId=72e5934a-0e3c-4b1b-8e1a-4acf2c900f78] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logRequest - Request : GET uri=[/js/common.js] content-type=[null]
2022-08-03 14:38:33.772 [http-nio-8080-exec-2] [traceId=1f231057-73cf-4561-b2ae-1555b4463cf6] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logRequest - Request : GET uri=[/css/layouts/header.css] content-type=[null]
2022-08-03 14:38:33.772 [http-nio-8080-exec-5] [traceId=a071206b-ca75-4348-ae7a-b48cfeb01f41] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logRequest - Request : GET uri=[/css/layouts/default.css] content-type=[null]
2022-08-03 14:38:33.772 [http-nio-8080-exec-10] [traceId=44084515-1f3d-4734-a85e-24f83c33eb61] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logRequest - Request : GET uri=[/css/reset.css] content-type=[null]
2022-08-03 14:38:33.772 [http-nio-8080-exec-3] [traceId=f1ff6fca-7087-4816-b9b3-4b5ef8764a82] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logRequest - Request : GET uri=[/css/layouts/navigation.css] content-type=[null]
2022-08-03 14:38:33.806 [http-nio-8080-exec-3] [traceId=f1ff6fca-7087-4816-b9b3-4b5ef8764a82] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logResponse - Response: content-type:[text/css]
2022-08-03 14:38:33.806 [http-nio-8080-exec-10] [traceId=44084515-1f3d-4734-a85e-24f83c33eb61] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logResponse - Response: content-type:[text/css]
2022-08-03 14:38:33.807 [http-nio-8080-exec-5] [traceId=a071206b-ca75-4348-ae7a-b48cfeb01f41] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logResponse - Response: content-type:[text/css]
2022-08-03 14:38:33.810 [http-nio-8080-exec-2] [traceId=1f231057-73cf-4561-b2ae-1555b4463cf6] INFO  c.PIMCS.PIMCS.filters.LoggingFilter.logResponse - Response: content-type:[text/css]
